District,PreM_Samples,PostM_Samples,PreM_F_Exceed_Pct,PostM_F_Exceed_Pct,PreM_NO3_Exceed_Pct,PostM_NO3_Exceed_Pct,PreM_EC_Exceed_Pct,PostM_EC_Exceed_Pct,EC_Improved_Wells,EC_Deteriorated_Wells
Anugul,24,41,0.0,0.0,12.5,9.8,0.0,2.4,8,13
Balangir,53,57,5.66,5.26,24.5,28.1,1.89,1.75,7,38
Baleshwar,10,12,0.0,0.0,0.0,0.0,0.0,0.0,0,8
Bargarh,32,36,0.0,2.78,9.4,11.1,3.12,2.78,15,10
Bhadrak,11,14,0.0,7.14,0.0,0.0,0.0,0.0,3,8
Boudh,27,33,3.7,3.03,14.8,12.1,0.0,0.0,17,7
Cuttack,15,28,0.0,0.0,6.7,7.1,0.0,0.0,5,9
Deogarh,4,4,0.0,0.0,0.0,0.0,0.0,0.0,1,3
Dhenkanal,8,21,0.0,0.0,12.5,9.5,0.0,0.0,4,2
Gajapati,6,13,0.0,0.0,16.7,7.7,0.0,0.0,4,2
Ganjam,40,51,0.0,1.96,27.5,23.5,5.0,3.92,26,13
Jagatsinghpur,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Jajpur,4,12,0.0,0.0,0.0,0.0,0.0,0.0,3,1
Jharsuguda,4,4,0.0,0.0,25.0,25.0,0.0,0.0,2,2
Kalahandi,14,15,7.14,26.67,21.4,26.7,0.0,0.0,5,7
Kandhamal,2,8,0.0,0.0,0.0,0.0,0.0,0.0,2,0
Kendrapara,11,14,0.0,0.0,0.0,0.0,9.09,7.14,5,6
Keonjhar,10,17,0.0,0.0,10.0,11.8,0.0,0.0,6,3
Khordha,9,18,0.0,0.0,11.1,11.1,0.0,0.0,3,6
Koraput,9,14,0.0,0.0,0.0,0.0,0.0,0.0,5,3
Malkangiri,3,5,0.0,0.0,0.0,0.0,0.0,0.0,1,0
Mayurbhanj,16,29,0.0,0.0,6.25,3.45,0.0,0.0,12,4
Nabarangpur,5,9,0.0,0.0,40.0,33.3,0.0,0.0,1,4
Nayagarh,16,21,6.25,4.76,18.8,14.3,0.0,0.0,8,8
Nuapada,20,18,0.0,0.0,15.0,16.7,0.0,0.0,1,12
Puri,36,43,0.0,0.0,5.56,4.65,2.78,2.33,21,12
Rayagada,2,2,0.0,0.0,0.0,0.0,0.0,0.0,1,0
Sambalpur,32,36,0.0,2.78,9.38,8.33,0.0,0.0,14,18
Sonepur,25,30,0.0,16.67,20.0,23.3,0.0,0.0,9,14
Sundargarh,11,11,9.09,0.0,18.2,18.2,0.0,0.0,7,3
