Station_No,Alert_Date,Office,State,District,Block,Village,Latitude_Raw,Longitude_Raw,Structure,Depth_mbgl,Collection_Date,Analysis_Date,BIS_Params,pH,EC,CO3,HCO3,Cl,SO4,NO3,F,Ca,Mg,Na,K,SiO2,TH,Cr,Mn,Fe,Ni,Cu,Zn,As,Pb,Cd,U,Alert_Reason,Remarks,Latitude,Longitude,TDS (mg/L),Date,Status,Location,Aquifer_System,River_Basin
2023-24/4112,2024-06-05,"CGWB, SER",ODISHA,NABARANGAPUR,UMARKOTE,Baheda 1,"19°46'2"" N","82°9'1"" E",DW,,2023-06-01,2024-05-01 00:00:00,,7.24,851.0,0.0,252.1,33.5,20.2,24.4,0.2,54.0,11.5,30.2,29.1,,181.0,,,,,,,,,,,0.9,"
To be confirmed after repeat sampling and analysis. The laboratory does not conduct the sampling. The uncertainties related to sampling are not estimated.
",19.767222,82.150278,544.6,2023-06-01,Safe,"Baheda 1, UMARKOTE (NABARANGAPUR)",Basement Gneissic Complex,Mahanadi
2023-24/4116,2024-06-05,"CGWB, SER",ODISHA,NABARANGAPUR,TENTULIKHUNTI,Digi,"19°16'2"" N","82°42'33"" E",DW,,2023-06-01,2024-05-01 00:00:00,,8.07,1493.0,0.0,437.79,109.1,26.7,35.3,0.4,88.2,18.7,44.3,129.3,,295.0,,,,,,,,,,,2.1,,19.267222,82.709167,955.5,2023-06-01,Safe,"Digi, TENTULIKHUNTI (NABARANGAPUR)",Basement Gneissic Complex,Indravati
2023-24/4122,2024-06-05,"CGWB, SER",ODISHA,NABARANGAPUR,KOSAGUMUDA,Kosagumunda 1,"19°16'33"" N","82°14'16"" E",DW,,2023-06-01,2024-05-01 00:00:00,,8.17,1194.0,0.0,383.07,90.5,26.2,36.9,0.01,121.0,19.7,53.0,22.8,,381.0,,,,,,,,,,,1.1,,19.275833,82.237778,764.2,2023-06-01,Safe,"Kosagumunda 1, KOSAGUMUDA (NABARANGAPUR)",Alluvium,Indravati
2023-24/4123,2024-06-05,"CGWB, SER",ODISHA,NABARANGAPUR,PAPARAHANDI,Maidalpur2,"19°28'8"" N","82°34'27"" E",DW,,2023-06-01,2024-05-01 00:00:00,,8.06,935.0,0.0,190.61,44.4,57.8,40.1,0.3,62.8,15.5,31.1,5.0,,219.0,,,,,,,,,,,BDL,,19.468889,82.574167,598.4,2023-06-01,Safe,"Maidalpur2, PAPARAHANDI (NABARANGAPUR)",Basement Gneissic Complex,Indravati
2023-24/4124,2024-06-05,"CGWB, SER",ODISHA,NABARANGAPUR,NANDAHANDI,Nandahandi,"19°14'13"" N","82°40'12"" E",DW,,2023-06-01,2024-05-01 00:00:00,,8.1,1198.0,0.0,400.9,96.5,43.6,22.6,0.1,97.9,36.6,47.0,3.9,,391.0,,,,,,,,,,,1.4,,19.236944,82.67,766.7,2023-06-01,Safe,"Nandahandi, NANDAHANDI (NABARANGAPUR)",Basement Gneissic Complex,Indravati
2023-24/4126,2024-06-05,"CGWB, SER",ODISHA,NABARANGAPUR,PAPARAHANDI,Papadahandi1,"19°21'0"" N","82°31'19"" E",DW,,2023-06-01,2024-05-01 00:00:00,,8.02,1625.0,0.0,260.09,109.4,50.7,149.8,0.4,82.5,23.6,54.0,88.5,,301.0,,,,,,,,,,,2.3,,19.35,82.521944,1040.0,2023-06-01,Danger,"Papadahandi1, PAPARAHANDI (NABARANGAPUR)",Basement Gneissic Complex,Indravati
2023-24/4132,2024-06-05,"CGWB, SER",ODISHA,NABARANGAPUR,UMARKOTE,Umarkot 1,"19°40'27"" N","82°11'57"" E",DW,,2023-06-01,2024-05-01 00:00:00,,8.04,1996.0,0.0,313.59,184.8,75.6,20.7,0.6,78.1,17.5,112.2,72.6,,265.0,,,,,,,,,,,2.6,,19.674167,82.199167,1277.4,2023-06-01,Safe,"Umarkot 1, UMARKOTE (NABARANGAPUR)",Basement Gneissic Complex,Indravati
2023-24/4134,2024-06-05,"CGWB, SER",ODISHA,NABARANGAPUR,CHANDAHANDI,Boriguda,"19°52'46"" N","82°29'23"" E",DW,,2023-06-01,2024-05-01 00:00:00,,8.18,747.0,0.0,258.25,46.6,5.4,5.9,1.2,52.3,18.2,39.2,2.9,,203.0,,,,,,,,,,,0.8,,19.879444,82.489722,478.1,2023-06-01,Safe,"Boriguda, CHANDAHANDI (NABARANGAPUR)",Basement Gneissic Complex,Mahanadi
2023-24/4136,2024-06-05,"CGWB, SER",ODISHA,NABARANGAPUR,RAIGHAR,Chelidongri,"19°50'18"" N","82°5'3"" E",DW,,2023-06-01,2024-05-01 00:00:00,,8.06,383.0,0.0,116.83,32.4,11.1,2.4,1.3,31.1,6.9,22.6,2.8,,105.0,,,,,,,,,,,BDL,,19.838333,82.084167,245.1,2023-06-01,Safe,"Chelidongri, RAIGHAR (NABARANGAPUR)",Basement Gneissic Complex,Indravati
2023-24/4146,2024-06-18,"CGWB, SER",ODISHA,NABARANGAPUR,NANDAHANDI,Majiguda,"19°15'24"" N","82°32'45"" E",DW,,1-06-23,06/24,,8.09,497.0,0.0,74.4,49.0,11.4,46.8,0.1,35.9,5.7,28.1,1.6,,112.0,,,,,,,,,,,BDL,"
To be confirmed after repeat sampling and analysis. The laboratory does not conduct the sampling. The uncertainties related to sampling are not estimated.
",19.256667,82.545833,318.1,1-06-23,Danger,"Majiguda, NANDAHANDI (NABARANGAPUR)",Basement Gneissic Complex,Indravati
2023-24/4147,2024-06-18,"CGWB, SER",ODISHA,NABARANGAPUR,JHARIGAN,Phuphugaon,"19°38'46"" N","82°23'35"" E",DW,,1-06-23,06/24,,8.17,470.0,0.0,110.68,29.3,2.9,4.9,1.5,20.8,11.2,19.1,0.3,,97.0,,,,,,,,,,,BDL,,19.646111,82.393056,300.8,1-06-23,Safe,"Phuphugaon, JHARIGAN (NABARANGAPUR)",Basement Gneissic Complex,Indravati
2023-24/4148,2024-06-18,"CGWB, SER",ODISHA,NABARANGAPUR,UMARKOTE,Purja Uv - 5,"19°43'2"" N","82°10'58"" E",DW,,1-06-23,06/24,,8.15,282.0,0.0,61.49,20.7,5.0,21.0,0.5,22.1,4.8,11.4,1.3,,74.0,,,,,,,,,,,BDL,,19.717222,82.182778,180.5,1-06-23,Safe,"Purja Uv - 5, UMARKOTE (NABARANGAPUR)",Basement Gneissic Complex,Indravati
2023-24/4149,2024-06-18,"CGWB, SER",ODISHA,NABARANGAPUR,TENTULIKHUNTI,Anchalguma1,"19°19'25"" N","82°40'42"" E",HP,,1-06-23,06/24,,7.2,318.0,0.0,110.68,39.6,21.9,67.7,0.4,42.1,6.2,19.8,40.0,,130.0,,,,,,,,,,,BDL,,19.323611,82.678333,203.5,1-06-23,Danger,"Anchalguma1, TENTULIKHUNTI (NABARANGAPUR)",Basement Gneissic Complex,Indravati
2023-24/4153,2024-06-18,"CGWB, SER",ODISHA,NABARANGAPUR,NANDAHANDI,Rangamatiguda,"19°14'05"" N","82°34'18"" E",HP,,1-06-23,06/24,,7.94,1124.0,0.0,314.82,109.5,9.7,2.3,2.5,77.9,18.9,80.2,0.6,,270.0,,,,,,,,,,,0,,19.234722,82.571667,719.4,1-06-23,Danger,"Rangamatiguda, NANDAHANDI (NABARANGAPUR)",Basement Gneissic Complex,Indravati
2023-24/4159,2024-06-18,"CGWB, SER",ODISHA,NABARANGAPUR,DABUGAN,Dongriguda,"19°27'19"" N","82°23'53"" E",HP,,1-06-23,06/24,,7.98,1461.0,0.0,322.81,236.8,58.8,68.6,0.3,85.8,16.8,125.3,110.6,,282.0,,,,,,,,,,,BDL,,19.455278,82.398056,935.0,1-06-23,Danger,"Dongriguda, DABUGAN (NABARANGAPUR)",Basement Gneissic Complex,Indravati
2023-24/4162,2024-06-18,"CGWB, SER",ODISHA,RAYAGADA,PADMAPUR,Akhusingi,"19°16'25"" N","83°51'31"" E",DW,,1-06-23,06/24,,7.95,1467.0,0.0,178.32,65.3,21.3,42.1,0.5,59.2,5.5,49.5,14.2,,170.0,,,,,,,,,,,0.01,,19.273611,83.858611,938.9,1-06-23,Safe,"Akhusingi, PADMAPUR (RAYAGADA)",Basement Gneissic Complex,Vansadhara
2023-24/4171,2024-06-18,"CGWB, SER",ODISHA,RAYAGADA,RAMANGUDA,Gumda,"19°13'12"" N","83°46'18"" E",DW,,1-06-23,06/24,,7.76,1215.0,0.0,250.87,213.9,59.7,48.3,0.6,85.7,25.3,119.1,16.6,,315.0,,,,,,,,,,,0.01,,19.22,83.771667,777.6,1-06-23,Danger,"Gumda, RAMANGUDA (RAYAGADA)",Basement Gneissic Complex,Vansadhara
2023-24/4172,2024-06-18,"CGWB, SER",ODISHA,RAYAGADA,RAYAGADA,Gumma 1,"19°11'41"" N","83°17'16"" E",DW,,1-06-23,06/24,,7.88,752.0,0.0,314.82,125.3,84.8,86.7,0.9,98.3,38.8,83.0,5.3,,401.0,,,,,,,,,,,0,,19.194722,83.287778,481.3,1-06-23,Danger,"Gumma 1, RAYAGADA (RAYAGADA)",Khondalites,Nagavali
2023-24/4176,2024-06-18,"CGWB, SER",ODISHA,RAYAGADA,PADMAPUR,Kenduguda,"19°18'27"" N","83°54'2"" E",DW,,1-06-23,06/24,,7.64,1732.0,0.0,393.52,302.4,43.2,1.8,0.8,126.2,30.4,161.4,1.3,,437.0,,,,,,,,,,,0.01,,19.3075,83.900556,1108.5,1-06-23,Safe,"Kenduguda, PADMAPUR (RAYAGADA)",Basement Gneissic Complex,Vansadhara
2023-24/4178,2024-06-18,"CGWB, SER",ODISHA,RAYAGADA,KOLNARA,Mukundpur,"19°13'32"" N","83°33'32"" E",DW,,1-06-23,06/24,,8.04,581.0,0.0,111.16,37.6,6.4,50.2,0.2,38.5,6.0,26.7,1.9,,120.0,,,,,,,,,,,BDL,,19.225556,83.558889,371.8,1-06-23,Danger,"Mukundpur, KOLNARA (RAYAGADA)",Basement Gneissic Complex,Vansadhara
2023-24/4179,2024-06-18,"CGWB, SER",ODISHA,RAYAGADA,PADMAPUR,Narainpur,"19°21'40"" N","83°58'0"" E",DW,,1-06-23,06/24,,8.19,309.0,0.0,119.07,20.5,3.7,58.1,0.2,36.5,12.4,12.9,1.4,,141.0,,,,,,,,,,,BDL,,19.361111,83.966667,197.8,1-06-23,Danger,"Narainpur, PADMAPUR (RAYAGADA)",Basement Gneissic Complex,Vansadhara
2023-24/4183,2024-06-18,"CGWB, SER",ODISHA,RAYAGADA,RAYAGADA,Shirikona,"19°10'32"" N","83°22'41"" E",DW,,1-06-23,06/24,,8.19,493.0,0.0,71.44,30.6,7.8,54.3,0.3,35.7,5.0,19.2,1.4,,109.0,,,,,,,,,,,BDL,,19.175556,83.378056,315.5,1-06-23,Danger,"Shirikona, RAYAGADA (RAYAGADA)",Alluvium,Nagavali
